2023-04-08 13:25:09,635 - logger - INFO - 第3500次迭代，探索步长限制300，角度最小误差1.7702614967873915，最大累积奖励-13544.596767320265, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:25:15,539 - logger - INFO - 第3600次迭代，探索步长限制300，角度最小误差1.7536870904182758，最大累积奖励-13627.76295752468, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:25:21,295 - logger - INFO - 第3700次迭代，探索步长限制300，角度最小误差1.8841274135154453，最大累积奖励-13532.079262667843, 最小步数300, eps=0.9, lr=0.9
2023-04-08 13:25:27,176 - logger - INFO - 第3800次迭代，探索步长限制300，角度最小误差0.00019599249113966266，最大累积奖励-8930.16992377518, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:25:32,721 - logger - INFO - 第3900次迭代，探索步长限制300，角度最小误差0.0007033172169239599，最大累积奖励-9171.751482706228, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:25:38,267 - logger - INFO - 第4000次迭代，探索步长限制300，角度最小误差0.0014724239549148699，最大累积奖励-9758.743193760234, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:25:43,900 - logger - INFO - 第4100次迭代，探索步长限制300，角度最小误差0.00029437746089788774，最大累积奖励-9277.313769342622, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:25:49,495 - logger - INFO - 第4200次迭代，探索步长限制300，角度最小误差0.00040632814221330804，最大累积奖励-9301.620433168771, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:25:55,007 - logger - INFO - 第4300次迭代，探索步长限制300，角度最小误差0.000916490970419126，最大累积奖励-9610.178913579768, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:00,586 - logger - INFO - 第4400次迭代，探索步长限制300，角度最小误差0.0005565814048562601，最大累积奖励-9117.111055071751, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:06,136 - logger - INFO - 第4500次迭代，探索步长限制300，角度最小误差0.0006764431007897365，最大累积奖励-9685.400917943316, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:11,668 - logger - INFO - 第4600次迭代，探索步长限制300，角度最小误差0.0008333290632096535，最大累积奖励-9008.415260745309, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:17,151 - logger - INFO - 第4700次迭代，探索步长限制300，角度最小误差0.0008129625513575434，最大累积奖励-9620.132687694075, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:22,659 - logger - INFO - 第4800次迭代，探索步长限制300，角度最小误差4.609181590797817e-05，最大累积奖励-9394.857824982337, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:28,201 - logger - INFO - 第4900次迭代，探索步长限制300，角度最小误差0.0003906418590262639，最大累积奖励-9737.093706574526, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 13:26:33,733 - logger - INFO - 第5000次迭代，探索步长限制300，角度最小误差0.00011407400630769615，最大累积奖励-9653.943256887202, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:26:39,328 - logger - INFO - 第5100次迭代，探索步长限制300，角度最小误差0.00017902583883921963，最大累积奖励-9488.00101781297, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:26:44,844 - logger - INFO - 第5200次迭代，探索步长限制300，角度最小误差0.00047304954915761144，最大累积奖励-9585.648110076112, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:26:50,330 - logger - INFO - 第5300次迭代，探索步长限制300，角度最小误差8.105692444093648e-05，最大累积奖励-9338.175760217202, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:26:55,905 - logger - INFO - 第5400次迭代，探索步长限制300，角度最小误差0.00028518433631541384，最大累积奖励-9555.354900567363, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:01,413 - logger - INFO - 第5500次迭代，探索步长限制300，角度最小误差0.00041700543994593886，最大累积奖励-9272.178756701014, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:07,028 - logger - INFO - 第5600次迭代，探索步长限制300，角度最小误差0.00038383585420831423，最大累积奖励-9541.606263627564, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:12,558 - logger - INFO - 第5700次迭代，探索步长限制300，角度最小误差0.0025085090807648314，最大累积奖励-9643.709246102177, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:18,177 - logger - INFO - 第5800次迭代，探索步长限制300，角度最小误差0.0003050188640667528，最大累积奖励-9342.060177580455, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:23,766 - logger - INFO - 第5900次迭代，探索步长限制300，角度最小误差0.0006295569878553842，最大累积奖励-9302.208134468765, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:29,325 - logger - INFO - 第6000次迭代，探索步长限制300，角度最小误差0.00017321852633278567，最大累积奖励-9516.779207498432, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:34,788 - logger - INFO - 第6100次迭代，探索步长限制300，角度最小误差0.00040115688799202687，最大累积奖励-9151.157355461992, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:40,311 - logger - INFO - 第6200次迭代，探索步长限制300，角度最小误差1.60416607757341e-05，最大累积奖励-9365.406917656472, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:45,921 - logger - INFO - 第6300次迭代，探索步长限制300，角度最小误差0.00013214646325598878，最大累积奖励-9455.68160652571, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:51,507 - logger - INFO - 第6400次迭代，探索步长限制300，角度最小误差0.0002297611242227937，最大累积奖励-9561.16527583703, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:27:57,074 - logger - INFO - 第6500次迭代，探索步长限制300，角度最小误差0.0002984836792125911，最大累积奖励-7277.748770355295, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:02,670 - logger - INFO - 第6600次迭代，探索步长限制300，角度最小误差0.0006151978010020542，最大累积奖励-9165.746595843217, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:08,172 - logger - INFO - 第6700次迭代，探索步长限制300，角度最小误差0.00027065534697223725，最大累积奖励-9594.356024777508, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:13,758 - logger - INFO - 第6800次迭代，探索步长限制300，角度最小误差0.0005670290066550621，最大累积奖励-9109.849238098052, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:19,297 - logger - INFO - 第6900次迭代，探索步长限制300，角度最小误差0.000323489819343159，最大累积奖励-9583.868720165106, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:24,782 - logger - INFO - 第7000次迭代，探索步长限制300，角度最小误差0.0026626265256624038，最大累积奖励-9539.79751957917, 最小步数300, eps=0.5094, lr=0.5094
2023-04-08 13:28:30,413 - logger - INFO - 第7100次迭代，探索步长限制300，角度最小误差0.00010226406475233318，最大累积奖励-9213.165121466756, 最小步数300, eps=0.5094, lr=0.5094
