2023-04-07 11:33:27,936 - logger - INFO - 第3500次迭代，探索步长限制300，角度最小误差2.1075088720396242，最大累积奖励-13614.717668944339, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:28,576 - logger - INFO - 第3600次迭代，探索步长限制300，角度最小误差2.002320857674941，最大累积奖励-13628.480424219611, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:29,216 - logger - INFO - 第3700次迭代，探索步长限制300，角度最小误差2.101409287592448，最大累积奖励-13615.868964307287, 最小步数300, eps=0.9, lr=0.9
2023-04-07 11:33:29,823 - logger - INFO - 第3800次迭代，探索步长限制300，角度最小误差0.7506494451818959，最大累积奖励-12009.1605303407, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:30,359 - logger - INFO - 第3900次迭代，探索步长限制300，角度最小误差1.028626894836064，最大累积奖励-11868.97933121523, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:30,905 - logger - INFO - 第4000次迭代，探索步长限制300，角度最小误差1.5390627447724698，最大累积奖励-12727.154205977082, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:31,439 - logger - INFO - 第4100次迭代，探索步长限制300，角度最小误差1.7262032013071886，最大累积奖励-13003.212815034996, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:31,925 - logger - INFO - 第4200次迭代，探索步长限制300，角度最小误差0.0030246565549254534，最大累积奖励-12828.180377742934, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:32,462 - logger - INFO - 第4300次迭代，探索步长限制300，角度最小误差1.3498711803487975，最大累积奖励-12908.070138935094, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:32,947 - logger - INFO - 第4400次迭代，探索步长限制300，角度最小误差1.2070460434232437，最大累积奖励-12637.299516822153, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:33,451 - logger - INFO - 第4500次迭代，探索步长限制300，角度最小误差1.0177617267178292，最大累积奖励-12993.813701339446, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:33,956 - logger - INFO - 第4600次迭代，探索步长限制300，角度最小误差0.017009183931187888，最大累积奖励-12707.45005079622, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:34,453 - logger - INFO - 第4700次迭代，探索步长限制300，角度最小误差0.7003242122728328，最大累积奖励-12613.92402824548, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:34,912 - logger - INFO - 第4800次迭代，探索步长限制300，角度最小误差1.491692687928187，最大累积奖励-12855.284078219518, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:35,453 - logger - INFO - 第4900次迭代，探索步长限制300，角度最小误差1.5175493031863694，最大累积奖励-12735.583134957818, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:35,945 - logger - INFO - 第5000次迭代，探索步长限制300，角度最小误差1.4650805783557521，最大累积奖励-12860.05133223256, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:36,464 - logger - INFO - 第5100次迭代，探索步长限制300，角度最小误差0.15434876378895446，最大累积奖励-12805.852080695813, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:36,984 - logger - INFO - 第5200次迭代，探索步长限制300，角度最小误差1.3287986567697185，最大累积奖励-12788.118470750676, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:37,502 - logger - INFO - 第5300次迭代，探索步长限制300，角度最小误差1.3787212563268874，最大累积奖励-12847.832464963312, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:38,077 - logger - INFO - 第5400次迭代，探索步长限制300，角度最小误差1.3899744690122284，最大累积奖励-12914.090164546757, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:38,581 - logger - INFO - 第5500次迭代，探索步长限制300，角度最小误差1.2818497280449828，最大累积奖励-12319.136052650436, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:39,068 - logger - INFO - 第5600次迭代，探索步长限制300，角度最小误差1.2742286784230892，最大累积奖励-12766.47471972387, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:39,623 - logger - INFO - 第5700次迭代，探索步长限制300，角度最小误差0.3996321887654739，最大累积奖励-11601.512228035053, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:40,145 - logger - INFO - 第5800次迭代，探索步长限制300，角度最小误差1.3579640481203281，最大累积奖励-12909.918689540067, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:40,620 - logger - INFO - 第5900次迭代，探索步长限制300，角度最小误差1.2892493309222646，最大累积奖励-12919.092819441908, 最小步数300, eps=0.5094, lr=0.9
2023-04-07 11:33:41,098 - logger - INFO - 第6000次迭代，探索步长限制300，角度最小误差1.3075337757794099，最大累积奖励-12789.555609579116, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:41,616 - logger - INFO - 第6100次迭代，探索步长限制300，角度最小误差0.018032662386868736，最大累积奖励-12488.138309428079, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:42,155 - logger - INFO - 第6200次迭代，探索步长限制300，角度最小误差0.6927165962649395，最大累积奖励-11896.817548793604, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:42,673 - logger - INFO - 第6300次迭代，探索步长限制300，角度最小误差0.3770131775065724，最大累积奖励-11794.86383898189, 最小步数300, eps=0.5094, lr=0.5094
2023-04-07 11:33:43,188 - logger - INFO - 第6400次迭代，探索步长限制300，角度最小误差0.5273980075869131，最大累积奖励-11548.377898690553, 最小步数300, eps=0.5094, lr=0.5094
