2023-04-08 14:18:16,034 - logger - INFO - 第3500次迭代，探索步长限制300，角度最小误差1.9336951535569646，最大累积奖励-13469.375569238215, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:16,811 - logger - INFO - 第3600次迭代，探索步长限制300，角度最小误差1.9122347775302355，最大累积奖励-13078.272087757583, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:17,594 - logger - INFO - 第3700次迭代，探索步长限制300，角度最小误差1.8839300830022978，最大累积奖励-13494.81879007701, 最小步数300, eps=0.9, lr=0.9
2023-04-08 14:18:18,317 - logger - INFO - 第3800次迭代，探索步长限制300，角度最小误差0.9958156295575398，最大累积奖励-11876.974705326866, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:18,958 - logger - INFO - 第3900次迭代，探索步长限制300，角度最小误差0.6701684342365875，最大累积奖励-11530.285802056433, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:19,618 - logger - INFO - 第4000次迭代，探索步长限制300，角度最小误差1.3635950783275872，最大累积奖励-12495.169517854014, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:20,264 - logger - INFO - 第4100次迭代，探索步长限制300，角度最小误差1.1796168859162464，最大累积奖励-12498.346048406784, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:20,912 - logger - INFO - 第4200次迭代，探索步长限制300，角度最小误差1.4491640414399107，最大累积奖励-12593.114871272663, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:21,583 - logger - INFO - 第4300次迭代，探索步长限制300，角度最小误差0.9228065212301972，最大累积奖励-12671.816227168652, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:22,241 - logger - INFO - 第4400次迭代，探索步长限制300，角度最小误差0.7202113169963145，最大累积奖励-12623.153254806672, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:22,896 - logger - INFO - 第4500次迭代，探索步长限制300，角度最小误差1.154345414341158，最大累积奖励-12628.350340933943, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:23,592 - logger - INFO - 第4600次迭代，探索步长限制300，角度最小误差1.2246909632657443，最大累积奖励-12286.911247724967, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:24,260 - logger - INFO - 第4700次迭代，探索步长限制300，角度最小误差0.008897298561477474，最大累积奖励-12175.7355782506, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:24,925 - logger - INFO - 第4800次迭代，探索步长限制300，角度最小误差1.239168234114926，最大累积奖励-12441.682904821791, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:25,587 - logger - INFO - 第4900次迭代，探索步长限制300，角度最小误差0.29967832012301887，最大累积奖励-12149.047342659007, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:26,248 - logger - INFO - 第5000次迭代，探索步长限制300，角度最小误差0.7785525728397755，最大累积奖励-12500.400368705794, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:26,894 - logger - INFO - 第5100次迭代，探索步长限制300，角度最小误差1.1699945122456334，最大累积奖励-12431.539541636335, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:27,539 - logger - INFO - 第5200次迭代，探索步长限制300，角度最小误差0.8106637204014953，最大累积奖励-12571.150318553975, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:28,183 - logger - INFO - 第5300次迭代，探索步长限制300，角度最小误差0.9495362531534939，最大累积奖励-12266.712895866367, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:28,856 - logger - INFO - 第5400次迭代，探索步长限制300，角度最小误差1.1580957421305982，最大累积奖励-12381.926751619872, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:29,513 - logger - INFO - 第5500次迭代，探索步长限制300，角度最小误差0.004750211247608327，最大累积奖励-12486.192857472872, 最小步数300, eps=0.5094, lr=0.9
2023-04-08 14:18:30,200 - logger - INFO - 第5600次迭代，探索步长限制300，角度最小误差0.007938471871423491，最大累积奖励-11276.412573221542, 最小步数300, eps=0.5094, lr=0.9
